RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
701561,2015903561,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/28/2015,05/27/2015,05/28/2015,28XX BLOCK OF NW 56 ST,B,B1,3200.3008,-122.394264221,47.669467926,"(47.669467926, -122.394264221)"
701570,2015903536,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/27/2015,05/27/2015,05/27/2015,5XX BLOCK OF S WELLER ST,K,K3,9100.2009,-122.327018738,47.597515106,"(47.597515106, -122.327018738)"
701692,2015903565,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/28/2015,05/21/2015,05/21/2015,21XX BLOCK OF E UNION ST,C,C3,7900.1006,-122.304290771,47.612926483,"(47.612926483, -122.304290771)"
701696,2015903576,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/28/2015,05/28/2015,05/28/2015,90XX BLOCK OF 35 AV SW,F,F2,11500.2025,-122.376731873,47.521965027,"(47.521965027, -122.376731873)"
701750,2015175495,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/27/2015,05/27/2015,,OCCIDENTAL AV S / S KING ST,K,K2,9300.2016,-122.333259583,47.59828949,"(47.59828949, -122.333259583)"
701763,2015174111,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/27/2015,05/20/2015,05/20/2015,7XX BLOCK OF PIKE ST,M,M2,8200.1011,-122.332801819,47.611839294,"(47.611839294, -122.332801819)"
701768,2015174526,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/27/2015,05/26/2015,,22XX BLOCK OF WESTLAKE AV,D,D2,7200.1048,-122.338439941,47.618244171,"(47.618244171, -122.338439941)"
701770,2015174852,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/27/2015,05/21/2015,05/21/2015,6XX BLOCK OF PINE ST,M,M2,8200.1002,-122.334815979,47.612369537,"(47.612369537, -122.334815979)"
701771,2015903527,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/27/2015,05/21/2015,05/21/2015,2XX BLOCK OF 2 AV N,Q,Q3,7100.2001,-122.352828979,47.620342255,"(47.620342255, -122.352828979)"
701780,2015174743,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/27/2015,05/27/2015,,6XX BLOCK OF 3 AV,K,K1,8100.2040,-122.331733704,47.603126526,"(47.603126526, -122.331733704)"
701781,2015174411,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/27/2015,05/26/2015,05/26/2015,4XX BLOCK OF 1 AV N,Q,Q3,7100.2001,-122.355422974,47.622688293,"(47.622688293, -122.355422974)"
701851,2015174095,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/26/2015,01/01/2015,05/26/2015,141XX BLOCK OF LINDEN AV N,N,N2,401.1007,-122.347770691,47.731678009,"(47.731678009, -122.347770691)"
702231,2015169467,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/23/2015,05/23/2015,05/23/2015,XX BLOCK OF FLORENTIA ST,Q,Q2,6000.4017,-122.357276917,47.646892548,"(47.646892548, -122.357276917)"
702247,2015169688,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/23/2015,05/22/2015,05/23/2015,1XX BLOCK OF W FLORENTIA ST,Q,Q2,6000.4019,-122.359458923,47.646896362,"(47.646896362, -122.359458923)"
